GEOID,county,population,white,black,hisp,ai,deaths.male,pop.at.risk.male,pop.at.risk.male.se,deaths.female,pop.at.risk.female,pop.at.risk.female.se,ICE,ICE.se,income,income.se,college,college.se,insurance,insurance.se,rate.male,rate.female
1001,"Autauga County, Alabama",55200,75.02173913043478,18.97644927536232,2.7681159420289854,0.28804347826086957,232,16460,131.60072188251857,142,17511,202.52777587284172,-0.04906464598626569,0.017296494561381125,58786,1806.6869300911853,27.7,1.21580547112462,92.9,0.547112462006079,0.014094775212636695,0.008109188510079378
1009,"Blount County, Alabama",57645,87.14025500910746,1.4224997831555208,9.126550438025848,0.21510972330644462,262,18659,232.97800325352608,207,19059,243.7108942989624,-0.0983495145631068,0.011935895384614197,48695,1643.161094224924,12.6,0.729483282674772,89,0.790273556231003,0.014041481322686103,0.010861010546198646
1017,"Chambers County, Alabama",33826,55.79140306273281,39.3750369538225,2.2704428546088806,0.2867616626263821,214,11513,152.6679403149201,123,12926,142.79793415872655,-0.17830719147676827,0.015725737108091126,39872,1426.7477203647416,13.2,0.9118541033434651,89.2,0.8510638297872339,0.018587683488230696,0.009515704781061427
1021,"Chilton County, Alabama",43930,80.13885727293422,9.360346005007967,7.776007284315957,0.08877760072843159,234,14212,200.29041414905507,146,15028,397.2231740470337,-0.1254253477404334,0.01843735237028194,45182,1935.562310030395,14.2,0.9726443768996961,85.8,0.9726443768996961,0.016464959189417393,0.009715198296513175
1033,"Colbert County, Alabama",54495,78.6585925314249,15.709698137443802,2.47545646389577,0.6734562803926966,322,18260,210.38951970095852,192,19904,206.13709030642693,-0.13161154181384468,0.014537540808962189,47558,1584.8024316109422,18.7,0.9726443768996961,91.9,0.60790273556231,0.017634173055859802,0.00964630225080386
1045,"Dale County, Alabama",49255,69.03867627652015,19.512739823368186,6.232869759415288,0.6090752207897675,273,15301,208.74625745148103,143,16511,207.66559657295187,-0.1327798607391537,0.01502843127745238,45960,1711.854103343465,17,0.790273556231003,88.6,0.790273556231003,0.01784197111299915,0.008660892738174551
1051,"Elmore County, Alabama",81212,73.22932571541152,21.115106141949465,2.889966999950746,0.229030192582377,315,24668,236.32340129576676,231,27284,247.71203039012863,-0.01111759256082078,0.014113269391901767,59347,1654.1033434650456,24.5,0.790273556231003,91.8,0.6686930091185411,0.012769580022701475,0.008466500513121243
1065,"Hale County, Alabama",14887,39.618459058238734,58.729092496809294,0.8732451131860012,0.19480083294149259,82,5098,6.020797289396148,61,5664,11.346805717910218,-0.26846942382467304,0.024850819301024077,30571,2578.115501519757,14.1,1.2765957446808511,91.2,1.033434650455927,0.016084739113377794,0.010769774011299435
1079,"Lawrence County, Alabama",33171,76.54276325706189,10.898073618522202,2.131379819722046,5.661571854933526,207,11307,156.17298101784445,123,12292,317.8895248352799,-0.12153617984544532,0.01752108176858371,44515,1514.2857142857142,11.7,1.033434650455927,91.8,0.60790273556231,0.018307243300610242,0.010006508298080053
1083,"Limestone County, Alabama",93052,76.8967888922323,13.33125564200662,5.8881055753772085,0.8823023685681125,385,30101,191.3765920900464,255,30274,276.572775232849,-0.029695573678640355,0.01327316931907488,56460,1895.4407294832827,25.5,0.9726443768996961,90.4,0.60790273556231,0.012790272748413673,0.008423069300389774
1099,"Monroe County, Alabama",21512,54.337114168835996,40.786537746374115,1.4038676087764967,1.608404611379695,113,7456,85.14693182963201,74,8372,96.47538546178502,-0.34691373174622653,0.025059650215122912,30141,2862.613981762918,14.1,1.3373860182370823,86.6,1.3373860182370823,0.01515557939914163,0.008838987099856666
1107,"Pickens County, Alabama",20298,53.8230367523894,40.14188590008868,4.591585377869741,0.12316484382697802,112,7057,5.477225575051662,66,7171,95.05261700763425,-0.24329349269588313,0.019691659204436402,37458,1861.3981762917933,13.5,1.21580547112462,91.5,0.8510638297872339,0.0158707666147088,0.009203737275135964
1121,"Talladega County, Alabama",80565,62.874697449264566,32.26214857568423,2.2565630236455037,0.3736113697014833,480,27127,303.7103883636515,332,29705,272.41741867949634,-0.16977107014359857,0.012654849604582751,41012,919.7568389057751,14.3,0.6686930091185411,90.7,0.547112462006079,0.017694547867438345,0.01117656960107726
5141,"Van Buren County, Arkansas",16684,93.58067609685926,0.3895948213857588,3.0448333732917767,0.6892831455286502,103,6348,137.04470073665746,48,6659,174.05458913800578,-0.19016345592527728,0.019539951297198342,36897,1373.2522796352584,14.1,1.033434650455927,89.5,1.094224924012158,0.01622558286074354,0.007208289532962907
5145,"White County, Arkansas",78804,88.21125831176083,3.984569311202477,4.291660321811076,0.3362773463275976,367,22878,393.1157590328834,259,24207,219.62183406938394,-0.13030106277551856,0.014189173746515708,43822,1463.2218844984802,21.4,0.9118541033434651,91,0.60790273556231,0.016041612029023516,0.01069938447556492
6005,"Amador County, California",37829,78.67773401358745,1.9799624626609216,13.566311559914352,0.7137381374078088,177,16200,209.43972880043557,95,16167,146.90132742763083,0.02122072391767211,0.01849375505514287,61198,1970.212765957447,20.3,1.094224924012158,95.8,0.48632218844984804,0.010925925925925926,0.005876167501700996
6021,"Glenn County, California",27897,52.00200738430656,0.799369107789368,41.23740904039861,1.4840305409183783,96,9034,193.55554758259967,84,8842,119.80713668225278,-0.12458820005989818,0.02497927705860518,47395,1950.759878419453,13.9,1.033434650455927,90.4,0.9726443768996961,0.01062652202789462,0.009500113096584483
6033,"Lake County, California",64148,71.1214691027,2.222984348693646,20.000623558022074,3.2580906653364097,461,25447,193.3972595462511,283,27792,154.84266207993198,-0.13405992451667564,0.013828665888209033,42475,1526.4437689969604,15.8,0.790273556231003,90.5,0.60790273556231,0.01811608441073604,0.010182786413356362
6043,"Mariposa County, California",17540,80.53021664766248,0.9464082098061574,10.88369441277081,2.2234891676168758,84,8135,193.53940167314767,50,8375,174.04740733489828,-0.06077922077922078,0.023964042056972015,51199,2119.756838905775,23.4,1.458966565349544,95.1,0.6686930091185411,0.010325752919483712,0.005970149253731343
6055,"Napa County, California",140530,52.77093858962499,1.9668398206788587,33.93367964135772,0.2319789368818046,359,46427,160.33948359652408,251,48913,140.3744991086344,0.22391499428944364,0.008274757898084998,84753,1336.1702127659573,34.9,0.547112462006079,93.5,0.42553191489361697,0.007732569410041571,0.005131560116942326
6089,"Shasta County, California",179085,80.17142697601697,1.1949632855906414,9.83052740318843,2.241393751570483,967,63256,202.69435117930644,616,69297,157.49206329209102,-0.04943737317838037,0.00756965706084287,50905,878.419452887538,22.2,0.60790273556231,92.5,0.364741641337386,0.015287087390919439,0.008889273705932435
6099,"Stanislaus County, California",539301,42.60997105512506,2.658626629655795,45.609594641953194,0.4821055403197843,1825,147149,9.287087810503355,1241,156125,14.142135623730951,-8.107388146998529e-5,0.005493751460240582,57387,800,16.9,0.303951367781155,93.5,0.182370820668693,0.012402394851477073,0.007948759007205765
6115,"Yuba County, California",75493,55.74689044017326,3.09962513080683,27.80390234856212,0.8517345979097399,333,21187,63.943334289040635,226,21994,182.36296224836883,-0.0448069062989419,0.011639561516775414,52624,1718.5410334346504,16.7,0.8510638297872339,92,0.547112462006079,0.01571718506631425,0.010275529689915432
8003,"Alamosa County, Colorado",16444,48.28508878618341,0.8148868888348334,45.86475310143518,1.9399172950620287,64,4395,116.40446726822816,39,4853,125.56870629261098,-0.17552413456850316,0.026517071679150055,39191,2499.6960486322187,26.1,1.580547112462006,86,1.8237082066869301,0.014562002275312855,0.008036266227076035
8013,"Boulder County, Colorado",321030,77.81297698034452,0.8139426221848426,13.788742485126,0.27847864685543405,656,99275,110.95043938624129,398,103768,200.89798406156294,0.18227238788186886,0.005991066152272036,78642,962.3100303951368,60.8,0.42553191489361697,95,0.182370820668693,0.006607907328128935,0.003835479145786755
8014,"Broomfield County, Colorado",66120,77.1264367816092,1.1116152450090744,12.20356926799758,0.3720508166969147,100,18810,260.3099114517156,82,19939,155.9807680452946,0.2643613637214176,0.010788561829891461,89624,2439.51367781155,55.5,0.8510638297872339,95.3,0.547112462006079,0.00531632110579479,0.004112543256933648
8025,"Crowley County, Colorado",5630,62.46891651865009,3.6589698046181174,31.03019538188277,1.0834813499111902,22,1956,100.03124511871277,13,1261,89.3448375677073,-0.1624790619765494,0.0358911617460334,37586,3385.4103343465044,9.6,1.9452887537993921,93,1.6413373860182372,0.011247443762781187,0.010309278350515464
8031,"Denver County, Colorado",693417,53.74976385061226,9.030208373893343,30.264472892934556,0.4844126982753523,2110,172325,48.42520005121301,1174,180585,76.97402159170326,0.07705922719953254,0.004013507753333447,63793,460.18237082066867,47.9,0.303951367781155,89.7,0.182370820668693,0.01224430581749601,0.006501093667801866
8035,"Douglas County, Colorado",328614,82.75636461015051,1.2525333674158738,8.520026535692333,0.19019274893948523,425,98584,311.1390364451237,295,100842,252.01438451009102,0.4119104797915283,0.005761548050756383,115314,1232.8267477203647,57.9,0.547112462006079,97.1,0.182370820668693,0.004311044388541751,0.0029253683980880983
8047,"Gilpin County, Colorado",5924,86.47873058744092,0.25320729237002026,9.25050641458474,2.2788656313301825,23,3279,448.8373870345473,12,3047,525.7304442392508,0.18545043347154166,0.03769888112306264,75120,3712.462006079027,38.7,3.221884498480243,95.4,1.1550151975683889,0.007014333638304361,0.003938299967180834
12083,"Marion County, Florida",348371,70.82420752588476,12.118115457371594,12.742449859488879,0.26064167224022666,1726,107787,10.428326807307107,1135,131333,13.228756555322953,-0.11568044303148395,0.007092013347384382,43361,564.741641337386,19.4,0.42553191489361697,87.7,0.42553191489361697,0.01601306279978105,0.008642153914096229
12087,"Monroe County, Florida",76325,66.85096626269244,6.582377988863413,23.85325908942024,0.12839829675728792,458,33160,279.9665158550215,204,31457,136.49175799292792,0.08763152798399071,0.01338840869602054,67023,1412.1580547112462,33.3,0.8510638297872339,82.2,0.8510638297872339,0.013811821471652594,0.006485043074673363
12095,"Orange County, Florida",1321194,40.82284660693282,19.905252370204526,30.905680770575707,0.11133868303973526,3503,348485,320.37087882640026,2160,380196,139.52150371896084,-0.0018686779485099637,0.00416991230354125,54335,349.5440729483283,33.8,0.303951367781155,85.5,0.24316109422492402,0.01005208258605105,0.005681280181800966
12111,"St. Lucie County, Florida",305591,57.97912896649443,19.546059929775417,18.54144919189374,0.2208834684267534,1266,99386,305.030736156211,765,110931,234.1206953688631,-0.07938195478063648,0.007251100463277352,49373,806.0790273556231,20.3,0.48632218844984804,86,0.60790273556231,0.012738212625520696,0.006896178705681911
12119,"Sumter County, Florida",120999,84.91557781469268,7.176918817510889,5.653765733601104,0.27768824535739967,383,37940,196.97398305360025,301,53647,247.61108618153594,-0.01564902262244674,0.011080950377027929,55228,1222.4924012158056,31.1,0.9118541033434651,93.8,0.48632218844984804,0.010094886663152346,0.005610751766175182
12125,"Union County, Florida",15239,69.74210906227442,21.66808845724785,5.512172714745062,0.7283942515913118,271,8287,370.3039292257105,41,3168,102.7010223902372,-0.17625899280575538,0.029433787166169942,41770,1734.3465045592704,8.3,0.9726443768996961,87.6,1.458966565349544,0.03270182213104863,0.012941919191919192
13001,"Appling County, Georgia",18454,69.44835807954915,18.223691340630758,9.770239514468408,0.3684837975506665,111,6121,147.28373976783723,66,6293,139.94195225163895,-0.17360071834780005,0.020163023799035448,39561,2685.1063829787236,9.7,1.033434650455927,84.4,1.398176291793313,0.018134291782388498,0.010487843635785794
13013,"Barrow County, Georgia",76887,72.23717923706218,11.295797729134964,10.420487208500786,0.16257624826043415,294,20650,352.7428241651416,220,22351,93.8083151964686,-0.0185631344049923,0.007995063854678167,57348,1260.1823708206687,17.6,0.6686930091185411,85.1,0.6686930091185411,0.01423728813559322,0.009842960046530357
13029,"Bryan County, Georgia",35885,73.75505085690399,14.156332729552737,6.838511913055594,0.4514421067298314,149,8802,189.31785441421,91,9754,166.10614076547563,0.07779360557138335,0.021738837477702316,71322,3693.6170212765956,32.6,1.2765957446808511,88.8,1.094224924012158,0.016927970915700977,0.009329505843756407
13043,"Candler County, Georgia",10827,60.69086542902004,23.51528585942551,11.563683384132261,0.6372956497644777,79,3519,99.59919678390986,56,3595,57.03069349043548,-0.2754098360655738,0.028503813248737703,32937,3074.772036474164,14.1,1.8237082066869301,79,1.7021276595744679,0.02244955953395851,0.015577190542420028
13055,"Chattooga County, Georgia",24817,82.90687834951848,10.02941532014345,4.9562799693758315,0.11685538139178789,157,8332,154.38588018338982,96,8511,180.91088966670856,-0.22257639041547592,0.020208041935071162,36107,1152.5835866261398,9.8,0.8510638297872339,84.6,0.9726443768996961,0.01884301488238118,0.011279520620373634
13059,"Clarke County, Georgia",124602,55.25513234137494,27.35911141073177,10.65151442191939,0.06019165021428227,320,25117,354.1733332705894,228,30025,295.75538879283334,-0.20612400474335082,0.010355015735671163,36889,1029.179331306991,42.7,0.790273556231003,86,0.547112462006079,0.012740375044790381,0.007593671940049959
13071,"Colquitt County, Georgia",45606,56.249177739771085,22.839100118405472,18.993114941016533,0.368372582554927,217,12262,351.4825742479988,146,13847,270.9635584354472,-0.1890204240926239,0.01925594517589633,35472,1182.3708206686929,12.5,0.9118541033434651,76.4,1.094224924012158,0.017696949926602513,0.010543800101104932
13079,"Crawford County, Georgia",12344,73.46079066753079,24.1250810110175,1.2961762799740766,0,75,4772,6.800735254367721,45,4937,12.298373876248846,-0.16778089281863273,0.028590055694408333,43257,2410.334346504559,10.3,1.458966565349544,86.5,1.762917933130699,0.015716680637049455,0.009114847073121329
13091,"Dodge County, Georgia",20919,65.29948850327453,28.051054065681917,3.4609684975381234,0.009560686457287634,134,7063,96.58545439143516,79,7040,76.39535326183132,-0.23524824538601508,0.02492923337046882,35757,1828.5714285714284,13.7,1.1550151975683889,88.7,1.2765957446808511,0.018972108169333146,0.011221590909090908
13107,"Emanuel County, Georgia",22499,59.35819369749767,34.19707542557447,4.457975910040446,0.04889106182497,140,6599,108.14920249359217,97,7616,62.39991987174342,-0.24725929456625356,0.020666188529695147,34946,1729.483282674772,12.4,1.21580547112462,82.1,1.21580547112462,0.021215335656917717,0.012736344537815126
13113,"Fayette County, Georgia",111369,63.07679875010101,21.766380231482728,7.1662670940746525,0.12211656744695562,273,40074,122.10139229345421,172,43304,27.883686987197372,0.261212990214575,0.012598449508817292,87272,2025.5319148936169,46.5,0.8510638297872339,92.7,0.60790273556231,0.006812397065428956,0.003971919453168299
13123,"Gilmer County, Georgia",29922,86.06710781364882,0.300782033286545,11.459795468217365,0.21723146848472696,143,11267,242.60564709008733,86,12123,207.48493921246427,-0.0747101760412194,0.020207533811231176,49389,2857.7507598784196,20,1.2765957446808511,78.6,1.762917933130699,0.012691932191355285,0.007093953641837829
8053,"Hinsdale County, Colorado",878,90.20501138952164,0,5.808656036446469,2.164009111617312,NA,345,78.90659034580065,NA,375,96.81812846776167,0.002583979328165375,0.04939256478830875,52188,7127.051671732523,43.9,4.316109422492401,89.7,2.735562310030395,NA,NA
8057,"Jackson County, Colorado",1296,80.01543209876543,0,19.598765432098766,0,NA,694,127.01377878009929,NA,563,101.83933424762753,-0.10434782608695652,0.04804427656515073,48828,4937.386018237082,16.8,3.03951367781155,89.4,2.917933130699088,NA,NA
8059,"Jefferson County, Colorado",570427,78.33920904866004,1.0478115516972373,15.278554486375995,0.47175186307801,1619,202188,91.60376629811681,1030,214752,92.17510509893656,0.17941977727859293,0.003932479862046456,78943,694.224924012158,44.1,0.364741641337386,94.2,0.182370820668693,0.00800739905434546,0.004796230070034272
8073,"Lincoln County, Colorado",5548,66.11391492429705,9.444844989185292,21.683489545782265,0.9552992069214131,15,1944,26.504716561397146,NA,1523,33.090784215548595,-0.07302631578947369,0.04431765173463802,49423,3967.7811550151973,12.8,2.6747720364741645,96,1.2765957446808511,0.007716049382716049,NA
8083,"Montezuma County, Colorado",25909,72.66586900304914,0.1698251572812536,12.435833108186344,12.478289397506657,104,10012,143.27421261343576,64,11044,164.18739293867844,-0.10023551577955724,0.01862226659828206,46797,2496.048632218845,28.6,1.519756838905775,87.1,1.1550151975683889,0.010387534958050339,0.005795001810938066
8095,"Phillips County, Colorado",4318,75.66002779064382,0.18527095877721167,21.861973135710976,0.2547475683186661,12,1504,185.3071774109141,10,1496,186.53082855120758,5.995203836930455e-4,0.027395183464443335,50724,4212.765957446809,25.5,2.2492401215805473,84.4,3.100303951367781,0.007978723404255319,0.0066844919786096255
8105,"Rio Grande County, Colorado",11351,52.1539952427099,0.3964408422165448,44.454233107215224,1.938155228614219,58,4249,57.0087712549569,30,4128,56.96490147450446,-0.1933836589698046,0.031115310642107038,38639,1274.7720364741642,23.7,1.884498480243161,89.2,1.7021276595744679,0.013650270651918098,0.007267441860465116
8111,"San Juan County, Colorado",544,89.88970588235294,0,8.823529411764707,1.286764705882353,NA,402,73.85797181076666,NA,307,77.95030468189333,-0.018796992481203006,0.0766050068388779,46563,6030.395136778116,34.5,6.200607902735562,90.3,2.735562310030395,NA,NA
